Question No.,L1,L2,L3,L4,Label,Title,Body,Gemini_Pred
137868,Basic,Basic,Basic,Basic,Basic,Using the &quot;final&quot; modifier whenever applicable in Java,"As it currently stands, this question is not a good fit for our Q&A format. We expect answers to be supported by facts, references, or expertise, but this question will likely solicit debate, arguments, polling, or extended discussion. If you feel that this question can be improved and possibly reopened,
visit the help center
for guidance.
Closed
11 years ago
.
In Java, there is a practice of declaring every variable (local or class), parameter final if they really are.
Though this makes the code a lot more verbose, this helps in easy reading/grasping of the code and also prevents mistakes as the intention is clearly marked.
What are your thoughts on this and what do you follow?",Basic
3881,Intermediate,Basic ,Intermediate,Basic ,Intermediate,IllegalArgumentException or NullPointerException for a null parameter?,"Closed
. This question is
opinion-based
. It is not currently accepting answers.
Want to improve this question?
Update the question so it can be answered with facts and citations by
editing this post
.
Closed
7 years ago
.
Improve this question
I have a simple setter method for a property and
null
is not appropriate for this particular property. I have always been torn in this situation: should I throw an
IllegalArgumentException
, or a
NullPointerException
? From the javadocs, both seem appropriate. Is there some kind of an understood standard?  Or is this just one of those things that you should do whatever you prefer and both are really correct?",Advanced
6658,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,JUnit vs TestNG,"Closed.
This question is seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. It does not meet
Stack Overflow guidelines
. It is not currently accepting answers.
We don’t allow questions seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. You can edit the question so it can be answered with facts and citations.
Closed
4 years ago
.
Improve this question
At work we are currently still using JUnit 3 to run our tests. We have been considering switching over to JUnit 4 for
new
tests being written but I have been keeping an eye on TestNG for a while now. What experiences have you all had with either JUnit 4 or TestNG, and which seems to work better for very large numbers of tests? Having flexibility in writing tests is also important to us since our functional tests cover a wide aspect and need to be written in a variety of ways to get results.
Old tests will not be re-written as they do their job just fine. What I would like to see in new tests though is flexibility in the way the test can be written, natural assertions, grouping, and easily distributed test executions.",Intermediate
24551,Basic,Basic,Basic,Basic,Basic,Initialize class fields in constructor or at declaration?,"I've been programming in C# and Java recently and I am curious where the best place is to initialize my class fields.
Should I do it at declaration?:
public class Dice
{
    private int topFace = 1;
    private Random myRand = new Random();

    public void Roll()
    {
       // ......
    }
}
or in a constructor?:
public class Dice
{
    private int topFace;
    private Random myRand;

    public Dice()
    {
        topFace = 1;
        myRand = new Random();
    }

    public void Roll()
    {
        // .....
    }
}
I'm really curious what some of you veterans think is the best practice. I want to be consistent and stick to one approach.",Advanced
27581,Intermediate,Basic ,Intermediate,Basic ,Intermediate,What issues should be considered when overriding equals and hashCode in Java?,"This question's answers are a
community effort
. Edit existing answers to improve this post. It is not currently accepting new answers or interactions.
What issues / pitfalls must be considered when overriding
equals
and
hashCode
?",Advanced
34571,Intermediate,Intermediate,Basic,Basic,Intermediate,"How do I test a class that has private methods, fields or inner classes?","How do I use JUnit to test a class that has internal private methods, fields or nested classes?
It seems bad to change the access modifier for a method just to be able to run a test.",Intermediate
37026,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Java: notify() vs. notifyAll() all over again,"If one Googles for ""difference between
notify()
and
notifyAll()
"" then a lot of explanations will pop up (leaving apart the javadoc paragraphs). It all boils down to the number of waiting threads being waken up: one in
notify()
and all in
notifyAll()
.
However (if I do understand the difference between these methods right), only one thread is always selected for further monitor acquisition; in the first case the one selected by the VM, in the second case the one selected by the system thread scheduler. The exact selection procedures for both of them (in the general case) are not known to the programmer.
What's the
useful
difference between
notify()
and
notifyAll()
then? Am I missing something?",Advanced
37628,Intermediate,Basic,Intermediate,Basic,Basic,What is reflection and why is it useful?,"What is reflection, and why is it useful?
I'm particularly interested in Java, but I assume the principles are the same in any language.",Basic
40471,Intermediate,Basic,Basic,Basic,Basic,What are the differences between a HashMap and a Hashtable in Java?,"What are the differences between a
HashMap
and a
Hashtable
in Java?
Which is more efficient for non-threaded applications?",Basic
40480,Basic,Basic,Basic,Basic,Basic,Is Java &quot;pass-by-reference&quot; or &quot;pass-by-value&quot;?,"This question's answers are a
community effort
. Edit existing answers to improve this post. It is not currently accepting new answers or interactions.
I always thought Java uses
pass-by-reference
. However, I read
a blog post
which claims that Java uses
pass-by-value
. I don't think I understand the distinction the author is making.
What is the explanation?",Basic
41107,Basic,Basic,Basic,Basic,Basic,How to generate a random alpha-numeric string,"I've been looking for a
simple
Java algorithm to generate a pseudo-random alpha-numeric string.  In my situation it would be used as a unique session/key identifier that would ""likely"" be unique over
500K+
generation (my needs don't really require anything much more sophisticated).
Ideally, I would be able to specify a length depending on my uniqueness needs. For example, a generated string of length 12 might look something like
""AEYGF7K0DM1X""
.",Basic
46898,Basic,Intermediate,Intermediate,Basic,Basic,How do I efficiently iterate over each entry in a Java Map?,"If I have an object implementing the
Map
interface in Java and I wish to iterate over every pair contained within it,  what is the most efficient way of going through the map?
Will the ordering of elements depend on the specific map implementation that I have for the interface?",Basic
47045,Basic,Basic,Basic,Basic,Basic,Sprintf equivalent in Java,Printf got added to Java with the 1.5 release but I can't seem to find how to send the output to a string rather than a file (which is what sprintf does in C). Does anyone know how to do this?,Intermediate
62289,Basic,Basic,Basic,Basic,Basic,Read/write to Windows registry using Java,How is it possible to read/write to the Windows registry using Java?,Basic
63150,Intermediate,Intermediate,Basic,Basic,Basic,What&#39;s the best way to build a string of delimited items in Java?,"While working in a Java app, I recently needed to assemble a comma-delimited list of values to pass to another web service without knowing how many elements there would be in advance. The best I could come up with off the top of my head was something like this:
public String appendWithDelimiter( String original, String addition, String delimiter ) {
    if ( original.equals( """" ) ) {
        return addition;
    } else {
        return original + delimiter + addition;
    }
}

String parameterString = """";
if ( condition ) parameterString = appendWithDelimiter( parameterString, ""elementName"", "","" );
if ( anotherCondition ) parameterString = appendWithDelimiter( parameterString, ""anotherElementName"", "","" );
I realize this isn't particularly efficient, since there are strings being created all over the place, but I was going for clarity more than optimization.
In Ruby, I can do something like this instead, which feels much more elegant:
parameterArray = [];
parameterArray << ""elementName"" if condition;
parameterArray << ""anotherElementName"" if anotherCondition;
parameterString = parameterArray.join("","");
But since Java lacks a join command, I couldn't figure out anything equivalent.
So, what's the best way to do this in Java?",Basic
65035,Basic,Basic,Basic,Basic,Basic,Does a finally block always get executed in Java?,"Considering this code, can I be
absolutely sure
that the
finally
block always executes, no matter what
something()
is?
try {  
    something();  
    return success;  
}  
catch (Exception e) {   
    return failure;  
}  
finally {  
    System.out.println(""I don't know if this will get printed out"");
}",Basic
66066,Basic,Basic,Basic,Basic,Basic,What is the best way to implement constants in Java?,"Closed
. This question is
opinion-based
. It is not currently accepting answers.
Closed
6 years ago
.
Locked
. This question and its answers are
locked
because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions.
I've seen examples like this:
public class MaxSeconds {
   public static final int MAX_SECONDS = 25;
}
and supposed that I could have a Constants class to wrap constants in, declaring them static final. I know practically no Java at all and am wondering if this is the best way to create constants.",Basic
70324,Basic,Basic,Basic,Basic,Basic,Java inner class and static nested class,What is the main difference between an inner class and a static nested class in Java? Does design / implementation play a role in choosing one of these?,Basic
70689,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,What is an efficient way to implement a singleton pattern in Java?,"Closed
. This question needs to be more
focused
. It is not currently accepting answers.
Want to improve this question?
Update the question so it focuses on one problem only by
editing this post
.
Closed
5 years ago
.
Improve this question
What is an efficient way to implement a singleton design pattern in Java?",Intermediate
80476,Basic,Basic,Basic,Basic,Basic,How can I concatenate two arrays in Java?,"I need to concatenate two
String
arrays in Java.
void f(String[] first, String[] second) {
    String[] both = ???
}
Which is the easiest way to do this?",Basic
81346,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Most efficient way to increment a Map value in Java,"I hope this question is not considered too basic for this forum, but we'll see. I'm wondering how to refactor some code for better performance that is getting run a bunch of times.
Say I'm creating a word frequency list, using a Map (probably a HashMap), where each key is a String with the word that's being counted and the value is an Integer that's incremented each time a token of the word is found.
In Perl, incrementing such a value would be trivially easy:
$map{$word}++;
But in Java, it's much more complicated. Here the way I'm currently doing it:
int count = map.containsKey(word) ? map.get(word) : 0;
map.put(word, count + 1);
Which of course relies on the autoboxing feature in the newer Java versions. I wonder if you can suggest a more efficient way of incrementing such a value. Are there even good performance reasons for eschewing the Collections framework and using a something else instead?
Update: I've done a test of several of the answers. See below.",Intermediate
88235,Advanced,Intermediate,Advanced,Intermediate,Intermediate,Dealing with &quot;java.lang.OutOfMemoryError: PermGen space&quot; error,"Recently I ran into this error in my web application:
java.lang.OutOfMemoryError: PermGen space
It's a typical Hibernate/JPA + IceFaces/JSF application running on Tomcat 6 and JDK 1.6.
Apparently this can occur after redeploying an application a few times.
What causes it and what can be done to avoid it?
How do I fix the problem?",Intermediate
94361,Intermediate,Basic,Intermediate,Basic,Basic,When do you use Java&#39;s @Override annotation and why?,"Locked
. This question and its answers are
locked
because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions.
What are the best practices for using Java's
@Override
annotation and why?
It seems like it would be overkill to mark every single overridden method with the
@Override
annotation.   Are there certain programming situations that call for using the
@Override
and others that should never use the
@Override
?",Basic
103564,Intermediate,Basic,Intermediate,Basic,Basic,The performance impact of using instanceof in Java,"I am working on an application and one design approach involves extremely heavy use of the
instanceof
operator. While I know that OO design generally tries to avoid using
instanceof
, that is a different story and this question is purely related to performance. I was wondering if there is any performance impact? Is is just as fast as
==
?
For example, I have a base class with 10 subclasses. In a single function that takes the base class, I do checks for if the class is an instance of the subclass and carry out some routine.
One of the other ways I thought of solving it was to use a ""type id"" integer primitive instead, and use a bitmask to represent categories of the subclasses, and then just do a bit mask comparison of the subclasses ""type id"" to a constant mask representing the category.
Is
instanceof
somehow optimized by the JVM to be faster than that? I want to stick to Java but the performance of the app is critical. It would be cool if someone that has been down this road before could offer some advice. Am I nitpicking too much or focusing on the wrong thing to optimize?",Basic
104799,Basic,Basic,Basic,Basic,Basic,Why aren&#39;t Java Collections remove methods generic?,"This question already has answers here
:
What are the reasons why Map.get(Object key) is not (fully) generic
(11 answers)
Closed
1 year ago
.
Why isn't
Collection.remove(Object o)
generic?
Seems like
Collection<E>
could have
boolean remove(E o);
Then, when you accidentally try to remove (for example)
Set<String>
instead of each individual String from a
Collection<String>
, it would be a compile time error instead of a debugging problem later.",Basic
106591,Basic,Basic,Basic,Basic,Basic,What is the volatile keyword useful for?,"At work today, I came across the
volatile
keyword in Java. Not being very familiar with it, I found
this explanation
.
Given the detail in which that article explains the keyword in question, do you ever use it or could you ever see a case in which you could use this keyword in the correct manner?",Advanced
109383,Basic,Basic,Basic,Basic,Basic,"Sort a Map&lt;Key, Value&gt; by values","I need to sort a
Map<Key, Value>
on the values.
Since the values are not unique, I find myself converting the
keySet
into an
array
, and sorting that array through
array sort
with a
custom comparator
that sorts on the value associated with the key.
Is there an easier way?",Advanced
113511,Intermediate,Advanced,Advanced,Intermediate,Intermediate,Best implementation for hashCode method for a collection,"How do we decide on the best implementation of
hashCode()
method for a collection (assuming that equals method has been overridden correctly) ?",Intermediate
122105,Basic,Basic,Basic,Basic,Basic,How to filter a Java Collection (based on predicate)?,"I want to filter a
java.util.Collection
based on a predicate.",Basic
124671,Basic,Basic,Basic,Basic,Basic,Picking a random element from a set,"How do I pick a random element from a set?
I'm particularly interested in picking a random element from a
HashSet or a LinkedHashSet, in Java.",Advanced
1135248,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Scala equivalent of Java java.lang.Class&lt;T&gt; Object,"The question is best explained by an example:
In Java for a JPA EntityManager, I can do the following(Account is my Entity class):
Account result = manager.find(Account.class, primaryKey);
In Scala, my naive attempt is:
val result = manager.find(Account.class, primaryKey)
But when I try to use
Account.class
in Scala, it seems to not like this.  How can I specify the java.lang.Class object for the Account class in Scala?",Intermediate
1146153,Intermediate,Intermediate,Intermediate,Basic ,Intermediate,Copying files from one directory to another in Java,"I want to copy files from one directory to another (subdirectory) using Java. I have a directory, dir, with text files. I iterate over the first 20 files in dir, and want to copy them to another directory in the dir directory, which I have created right before the iteration.
In the code, I want to copy the
review
(which represents the ith text file or review) to
trainingDir
. How can I do this? There seems not to be such a function (or I couldn't find). Thank you.
boolean success = false;
File[] reviews = dir.listFiles();
String trainingDir = dir.getAbsolutePath() + ""/trainingData"";
File trDir = new File(trainingDir);
success = trDir.mkdir();
for(int i = 1; i <= 20; i++) {
    File review = reviews[i];

}",Intermediate
1163173,Intermediate,Basic ,Intermediate,Basic ,Intermediate,Why use Gradle instead of Ant or Maven?,"As it currently stands, this question is not a good fit for our Q&A format. We expect answers to be supported by facts, references, or expertise, but this question will likely solicit debate, arguments, polling, or extended discussion. If you feel that this question can be improved and possibly reopened,
visit the help center
for guidance.
Closed
11 years ago
.
Locked
. This question and its answers are
locked
because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions.
What does another build tool targeted at Java really get me?
If you use Gradle over another tool, why?",Intermediate
1205995,Advanced,Advanced,Advanced,Advanced,Advanced,What is the list of valid @SuppressWarnings warning names in Java?,"What is the list of valid
@SuppressWarnings
warning names in Java?
The bit that comes in between the
("""")
in
@SuppressWarnings("""")
.",Advanced
1217228,Advanced,Advanced,Advanced,Advanced,Advanced,What is the Java equivalent for LINQ?,"Closed.
This question is seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. It does not meet
Stack Overflow guidelines
. It is not currently accepting answers.
We don’t allow questions seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. You can edit the question so it can be answered with facts and citations.
Closed
8 years ago
.
Improve this question
What is Java equivalent for LINQ?",Advanced
1250643,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,"How to wait for all threads to finish, using ExecutorService?","I need to execute some amount of tasks 4 at a time, something like this:
ExecutorService taskExecutor = Executors.newFixedThreadPool(4);
while(...) {
    taskExecutor.execute(new MyTask());
}
//...wait for completion somehow
How can I get notified once all of them are complete? For now I can't think about anything better than setting some global task counter and decrease it at the end of every task, then monitor in infinite loop this counter to become 0; or get a list of Futures and in infinite loop monitor isDone for all of them. What are better solutions not involving infinite loops?
Thanks.",Intermediate
1262328,Advanced,Intermediate,Intermediate,Basic ,Intermediate,How is the java memory pool divided?,"I’m currently monitoring a Java application with jconsole. The memory tab lets you choose between:
Heap Memory Usage
Non-Heap Memory Usage
Memory Pool “Eden Space”
Memory Pool “Survivor Space”
Memory Pool “Tenured Gen”
Memory Pool “Code Cache”
Memory Pool “Perm Gen”
What is the difference between them ?",Intermediate
1264709,Basic,Basic,Basic,Basic,Basic,Convert InputStream to byte array in Java,"How do I read an entire
InputStream
into a byte array?",Intermediate
1300655,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,What&#39;s Alternative to Singleton,"We have a class that holds configuration information for the application. It used to be a singleton. After some architectural review, we were told to remove the singleton. We did see some benefits of not using singleton in the unit testing because we can test different configurations all at once.
Without singleton, we have to pass the instance around everywhere in our code. It's getting so messy so we wrote a singleton wrapper. Now we are porting the same code to PHP and .NET, I am wondering if there is a better pattern we can use for the configuration object.",Intermediate
1306727,Basic,Basic,Basic,Basic,Basic,Way to get number of digits in an int?,"Is there a neater way for getting the number of digits in an int than this method?
int numDigits = String.valueOf(1000).length();",Basic
1323408,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Get a list of all threads currently running in Java,"Is there any way I can get a list of all running threads in the current JVM (including the threads
not
started by my class)?
Is it also possible to get the
Thread
and
Class
objects of all threads in the list?
I want to be able to do this through code.",Intermediate
1342894,Basic,Basic,Basic,Basic,Basic,Find a class somewhere inside dozens of JAR files?,"How would you find a particular class name inside lots of jar files?
(Looking for the actual class name, not the classes that reference it.)",Basic
1345001,Basic ,Intermediate,Intermediate,Basic ,Intermediate,Is it bad practice to make a setter return &quot;this&quot;?,"Is it a good or bad idea to make setters in java return ""this""?
public Employee setName(String name){
   this.name = name;
   return this;
}
This pattern can be useful because then you can chain setters like this:
list.add(new Employee().setName(""Jack Sparrow"").setId(1).setFoo(""bacon!""));
instead of this:
Employee e = new Employee();
e.setName(""Jack Sparrow"");
...and so on...
list.add(e);
...but it sort of goes against standard convention. I suppose it might be worthwhile just because it can make that setter do something else useful. I've seen this pattern used some places (e.g. JMock, JPA), but it seems uncommon, and only generally used for very well defined APIs where this pattern is used everywhere.
Update:
What I've described is obviously valid, but what I am really looking for is some thoughts on whether this is generally acceptable, and if there are any pitfalls or related best practices. I know about the Builder pattern but it is a little more involved then what I am describing - as Josh Bloch describes it there is an associated static Builder class for object creation.",Intermediate
1353309,Basic,Basic,Basic,Basic,Basic,Java: Static vs inner class,"This question already has answers here
:
Java inner class and static nested class
(28 answers)
Closed
10 years ago
.
What is the difference between static and non-static nested class?",Basic
1371369,Basic,Basic,Basic,Basic,Basic,Can constructors throw exceptions in Java?,Are constructors allowed to throw exceptions?,Basic
1383797,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Java Hashmap: How to get key from value?,"If I have the value
""foo""
, and a
HashMap<String> ftw
for which
ftw.containsValue(""foo"")
returns
true
, how can I get the corresponding key? Do I have to loop through the hashmap? What is the best way to do that?",Intermediate
1439779,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How to compare two Dates without the time portion?,I would like to have a compareTo method that ignores the time portion of a java.util.Date. I guess there are a number of ways to solve this. What's the simplest way?,Intermediate
1447407,Basic,Basic,Basic,Basic,Basic,What&#39;s the equivalent of Java&#39;s Thread.sleep() in JavaScript?,"This question already has answers here
:
What is the JavaScript version of sleep()?
(94 answers)
Closed
5 years ago
.
What's the equivalent of Java's
Thread.sleep()
in JavaScript?",Basic
1456566,Intermediate,Intermediate,Intermediate,Basic ,Intermediate,How do you test to see if a double is equal to NaN?,"I have a double in Java and I want to check if it is
NaN
.
What is the best way to do this?",Advanced
1463597,Basic,Basic,Basic,Basic,Basic,Evaluate if list is empty JSTL,"I've been trying to evaluate if this array list is empty or not but none of these have even compiled:
<c:if test=""${myObject.featuresList.size == 0 }"">                   
<c:if test=""${myObject.featuresList.length == 0 }"">                 
<c:if test=""${myObject.featuresList.size() == 0 }"">                 
<c:if test=""${myObject.featuresList.length() == 0 }"">                   
<c:if test=""${myObject.featuresList.empty}"">                    
<c:if test=""${myObject.featuresList.empty()}"">                  
<c:if test=""${myObject.featuresList.isEmpty}"">
How can I evaluate if an ArrayList is empty?",Basic
1479442,Advanced,Advanced,Advanced,Advanced,Advanced,Real World Use of Zookeeper,"Closed
. This question is
opinion-based
. It is not currently accepting answers.
Closed
8 years ago
.
This question's answers are a
community effort
. Edit existing answers to improve this post. It is not currently accepting new answers or interactions.
I've been looking at
Zookeeper
recently and wondered whether anybody was using it currently and what they were specifically using it for storing.
The most common use case is for configuration information, but what kind of data and how much data are you storing?",Advanced
1490869,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How to get VM arguments from inside of Java application?,"I need to check if some option that can be passed to JVM is explicitly set or has its default value.
To be more specific:
I need to create one specific thread with higher native stack size than the default one, but in case the user wants to take care of such things by himself by specifying the
-Xss
option I want to create all threads with default stack size (which will be specified by user in -Xss option).
I've checked classes like
java.lang.System
and
java.lang.Runtime
, but these aren't giving me any useful information about VM arguments.
Is there any way to get the information I need?",Intermediate
1537116,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,IllegalMonitorStateException on wait() call,"I am using multi-threading in java for my program.
I have run thread successfully but when I am using
Thread.wait()
, it is throwing
java.lang.IllegalMonitorStateException
.
How can I make a thread wait until it will be notified?",Intermediate
1552301,Basic,Basic,Basic,Basic,Basic,Immutability of Strings in Java,"Consider the following example.
String str = new String();

str  = ""Hello"";
System.out.println(str);  //Prints Hello

str = ""Help!"";
System.out.println(str);  //Prints Help!
Now, in Java, Strings are immutable. Then how come the object
str
can be assigned with a different value like ""Help!"". Isn't this contradicting the immutability of strings in Java? Can anybody please explain me the exact concept of immutability?
Edit:
Ok. I am now getting it, but just one follow-up question. What about the following code:
String str = ""Mississippi""; 
System.out.println(str); // prints Mississippi 

str = str.replace(""i"", ""!""); 
System.out.println(str); // prints M!ss!ss!pp!
Does this mean that two objects are created again (""Mississippi"" and ""M!ss!ss!pp!"") and the reference
str
points to a different object after
replace()
method?",Basic
1555262,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Calculating the difference between two Java date instances,"I'm using Java's
java.util.Date
class in Scala and want to compare a
Date
object and the current time. I know I can calculate the delta by using getTime():
(new java.util.Date()).getTime() - oldDate.getTime()
However, this just leaves me with a
long
representing milliseconds. Is there any simpler, nicer way to get a time delta?",Intermediate
1568091,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Why use getters and setters/accessors?,"What's the advantage of using getters and setters - that only get and set - instead of simply using public fields for those variables?
If getters and setters are ever doing more than just the simple get/set, I can figure this one out very quickly, but I'm not 100% clear on how:
public String foo;
is any worse than:
private String foo;
public void setFoo(String foo) { this.foo = foo; }
public String getFoo() { return foo; }
Whereas the former takes a lot less boilerplate code.",Intermediate
1594667,Intermediate,Intermediate,Intermediate,Basic ,Intermediate,.war vs .ear file,What is the difference between a .war and .ear file?,Intermediate
1625234,Basic,Basic,Basic,Basic,Basic,How to append text to an existing file in Java?,I need to append text repeatedly to an existing file in Java. How do I do that?,Basic
