,Pred,Question No.,Question No.,L1,L2,L3,L4,Label,Title,Body,User_Reputation,Bronze_badge,Gold_badge,Silver_badge,Accept_rate,User Id,Accepted Answer ID,View Count,Answer Count,Score,Tags,Interval from first,Interval from accepted,Total count urls and imgs,Processed Body,Code Final,LOC,Question_Length
0,Intermediate,137868,137868,Basic,Basic,Basic,Basic,Basic,Using the &quot;final&quot; modifier whenever applicable in Java,"As it currently stands, this question is not a good fit for our Q&A format. We expect answers to be supported by facts, references, or expertise, but this question will likely solicit debate, arguments, polling, or extended discussion. If you feel that this question can be improved and possibly reopened,
visit the help center
for guidance.
Closed
11 years ago
.
In Java, there is a practice of declaring every variable (local or class), parameter final if they really are.
Though this makes the code a lot more verbose, this helps in easy reading/grasping of the code and also prevents mistakes as the intention is clearly marked.
What are your thoughts on this and what do you follow?",2352,7,2,14,,15321,137946,74348,25,210,"[""java"", ""oop""]",221,2398,2,"As it currently stands, this question is not a good fit for our Q&amp;A format. We expect answers to be supported by facts, references, or expertise, but this question will likely solicit debate, arguments, polling, or extended discussion. If you feel that this question can be improved and possibly reopened, visit the help center for guidance. Closed 11 years ago . In Java, there is a practice of declaring every variable (local or class), parameter final if they really are. Though this makes the code a lot more verbose, this helps in easy reading/grasping of the code and also prevents mistakes as the intention is clearly marked. What are your thoughts on this and what do you follow?",,0,43
1,Advanced,3881,3881,Intermediate,Basic ,Intermediate,Basic ,Intermediate,IllegalArgumentException or NullPointerException for a null parameter?,"Closed
. This question is
opinion-based
. It is not currently accepting answers.
Want to improve this question?
Update the question so it can be answered with facts and citations by
editing this post
.
Closed
7 years ago
.
Improve this question
I have a simple setter method for a property and
null
is not appropriate for this particular property. I have always been torn in this situation: should I throw an
IllegalArgumentException
, or a
NullPointerException
? From the javadocs, both seem appropriate. Is there some kind of an understood standard?  Or is this just one of those things that you should do whatever you prefer and both are really correct?",44472,140,30,113,79,122,3886,205069,26,578,"[""java"", ""exception"", ""null"", ""nullpointerexception"", ""illegalargumentexception""]",174,174,5,"Closed . This question is opinion-based . It is not currently accepting answers. Want to improve this question? Update the question so it can be answered with facts and citations by editing this post . Closed 7 years ago . Improve this question I have a simple setter method for a property and is not appropriate for this particular property. I have always been torn in this situation: should I throw an , or a ? From the javadocs, both seem appropriate. Is there some kind of an understood standard? Or is this just one of those things that you should do whatever you prefer and both are really correct?","
   null
   
    IllegalArgumentException
    
    NullPointerException
   ",3,82
2,Intermediate,6658,6658,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,JUnit vs TestNG,"Closed.
This question is seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. It does not meet
Stack Overflow guidelines
. It is not currently accepting answers.
We don’t allow questions seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. You can edit the question so it can be answered with facts and citations.
Closed
4 years ago
.
Improve this question
At work we are currently still using JUnit 3 to run our tests. We have been considering switching over to JUnit 4 for
new
tests being written but I have been keeping an eye on TestNG for a while now. What experiences have you all had with either JUnit 4 or TestNG, and which seems to work better for very large numbers of tests? Having flexibility in writing tests is also important to us since our functional tests cover a wide aspect and need to be written in a variety of ways to get results.
Old tests will not be re-written as they do their job just fine. What I would like to see in new tests though is flexibility in the way the test can be written, natural assertions, grouping, and easily distributed test executions.",2352,14,2,16,,782,6671,40941,12,126,"[""java"", ""testing"", ""junit"", ""testng""]",145,1749,2,"Closed. This question is seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. It does not meet Stack Overflow guidelines . It is not currently accepting answers. We don’t allow questions seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. You can edit the question so it can be answered with facts and citations. Closed 4 years ago . Improve this question At work we are currently still using JUnit 3 to run our tests. We have been considering switching over to JUnit 4 for new tests being written but I have been keeping an eye on TestNG for a while now. What experiences have you all had with either JUnit 4 or TestNG, and which seems to work better for very large numbers of tests? Having flexibility in writing tests is also important to us since our functional tests cover a wide aspect and need to be written in a variety of ways to get results. Old tests will not be re-written as they do their job just fine. What I would like to see in new tests though is flexibility in the way the test can be written, natural assertions, grouping, and easily distributed test executions.",,0,66
3,Intermediate,24551,24551,Basic,Basic,Basic,Basic,Basic,Initialize class fields in constructor or at declaration?,"I've been programming in C# and Java recently and I am curious where the best place is to initialize my class fields.
Should I do it at declaration?:
public class Dice
{
    private int topFace = 1;
    private Random myRand = new Random();

    public void Roll()
    {
       // ......
    }
}
or in a constructor?:
public class Dice
{
    private int topFace;
    private Random myRand;

    public Dice()
    {
        topFace = 1;
        myRand = new Random();
    }

    public void Roll()
    {
        // .....
    }
}
I'm really curious what some of you veterans think is the best practice. I want to be consistent and stick to one approach.",92139,222,61,186,65,2635,24558,167708,16,470,"[""java""]",267,267,0,I've been programming in C# and Java recently and I am curious where the best place is to initialize my class fields. Should I do it at declaration?: or in a constructor?: I'm really curious what some of you veterans think is the best practice. I want to be consistent and stick to one approach.,"public class Dice
{
    private int topFace = 1;
    private Random myRand = new Random();

    public void Roll()
    {
       // ......
    }
}
 public class Dice
{
    private int topFace;
    private Random myRand;

    public Dice()
    {
        topFace = 1;
        myRand = new Random();
    }

    public void Roll()
    {
        // .....
    }
}
",24,42
4,Advanced,27581,27581,Intermediate,Basic ,Intermediate,Basic ,Intermediate,What issues should be considered when overriding equals and hashCode in Java?,"This question's answers are a
community effort
. Edit existing answers to improve this post. It is not currently accepting new answers or interactions.
What issues / pitfalls must be considered when overriding
equals
and
hashCode
?",117223,132,46,112,66,797,27609,608181,11,616,"[""java"", ""overriding"", ""equals"", ""hashcode""]",1336,1336,2,This question's answers are a community effort . Edit existing answers to improve this post. It is not currently accepting new answers or interactions. What issues / pitfalls must be considered when overriding and ?,"
   equals
   
   hashCode
  ",2,40
5,Advanced,34571,34571,Intermediate,Intermediate,Basic,Basic,Intermediate,"How do I test a class that has private methods, fields or inner classes?","How do I use JUnit to test a class that has internal private methods, fields or nested classes?
It seems bad to change the access modifier for a method just to be able to run a test.",12164,40,10,37,78,3098,34658,1253680,59,3218,"[""java"", ""unit-testing"", ""junit"", ""tdd""]",190,1442,0,"How do I use JUnit to test a class that has internal private methods, fields or nested classes? It seems bad to change the access modifier for a method just to be able to run a test.",,0,8
6,Advanced,37026,37026,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Java: notify() vs. notifyAll() all over again,"If one Googles for ""difference between
notify()
and
notifyAll()
"" then a lot of explanations will pop up (leaving apart the javadoc paragraphs). It all boils down to the number of waiting threads being waken up: one in
notify()
and all in
notifyAll()
.
However (if I do understand the difference between these methods right), only one thread is always selected for further monitor acquisition; in the first case the one selected by the VM, in the second case the one selected by the system thread scheduler. The exact selection procedures for both of them (in the general case) are not known to the programmer.
What's the
useful
difference between
notify()
and
notifyAll()
then? Am I missing something?",8920,54,9,44,81,3894,37046,234824,26,423,"[""java"", ""multithreading""]",1929,2290,2,"If one Googles for ""difference between and "" then a lot of explanations will pop up (leaving apart the javadoc paragraphs). It all boils down to the number of waiting threads being waken up: one in and all in . However (if I do understand the difference between these methods right), only one thread is always selected for further monitor acquisition; in the first case the one selected by the VM, in the second case the one selected by the system thread scheduler. The exact selection procedures for both of them (in the general case) are not known to the programmer. What's the useful difference between notify() and notifyAll() then? Am I missing something?","
   notify()
   
   notifyAll()
   
   notify()
   
   notifyAll()
  ",4,39
7,Intermediate,37628,37628,Intermediate,Basic,Intermediate,Basic,Basic,What is reflection and why is it useful?,"What is reflection, and why is it useful?
I'm particularly interested in Java, but I assume the principles are the same in any language.",48068,53,14,53,97,142,37632,1035989,25,2545,"[""java"", ""reflection"", ""terminology""]",337,337,0,"What is reflection, and why is it useful? I'm particularly interested in Java, but I assume the principles are the same in any language.",,0,8
8,Basic,40471,40471,Intermediate,Basic,Basic,Basic,Basic,What are the differences between a HashMap and a Hashtable in Java?,"What are the differences between a
HashMap
and a
Hashtable
in Java?
Which is more efficient for non-threaded applications?",51853,23,10,33,100,4316,40878,1743969,35,4316,"[""java"", ""collections"", ""hashmap"", ""hashtable""]",173,10237,2,What are the differences between a and a in Java? Which is more efficient for non-threaded applications?,"
    HashMap
    
    Hashtable
   ",2,20
9,Basic,40480,40480,Basic,Basic,Basic,Basic,Basic,Is Java &quot;pass-by-reference&quot; or &quot;pass-by-value&quot;?,"This question's answers are a
community effort
. Edit existing answers to improve this post. It is not currently accepting new answers or interactions.
I always thought Java uses
pass-by-reference
. However, I read
a blog post
which claims that Java uses
pass-by-value
. I don't think I understand the distinction the author is making.
What is the explanation?",4775,9,5,23,,4315,,2700451,91,7754,"[""java"", ""methods"", ""parameter-passing"", ""pass-by-reference"", ""pass-by-value""]",292,-1220386469,3,"This question's answers are a community effort . Edit existing answers to improve this post. It is not currently accepting new answers or interactions. I always thought Java uses pass-by-reference . However, I read a blog post which claims that Java uses pass-by-value . I don't think I understand the distinction the author is making. What is the explanation?",,0,47
